Name,Adm.,Pop2020,Pop2022,Area,Change,Density
League City,TX,114377,115418,13302,0.9101480192696083,8.676740339798526
Lee's Summit,MO,101122,103465,16549,2.3170032238286424,6.252039398150946
Lehigh Acres,FL,114287,120500,24008,5.436313841469284,5.019160279906698
Lewisville,TX,125688,131215,10530,4.397396728406848,12.461063627730294
Lexington (- Fayette),KY,322567,320347,73518,-0.6882291120914414,4.357395467776599
Lincoln,NE,291105,292627,25663,0.5228354030332697,11.402680902466587
Little Rock,AR,202562,202864,31140,0.14909015511300244,6.514579319203596
Long Beach,CA,466775,451307,13124,-3.3138021530716086,34.38791526973484
Los Angeles,CA,3898767,3822238,121863,-1.9629026304983088,31.365041070710554
Louisville (/ Jefferson County),KY,632689,624444,84081,-1.3031679071392106,7.426695686302494
Lowell,MA,115550,113608,3525,-1.680657723929035,32.22921985815603
Lubbock,TX,257157,263930,35752,2.633799585467244,7.382244349966435
Lynn,MA,101263,100891,2781,-0.36736024016669466,36.278676734987414
Macon (- Bibb County),GA,157347,156197,64590,-0.7308687169123022,2.4182845641740207
Madison,WI,269769,272903,21171,1.1617346692911343,12.890416135279391
Manchester,NH,115653,115141,8565,-0.44270360474868786,13.443199065966141
McAllen,TX,142195,144579,16138,1.6765709061500051,8.958916842235716
McKinney,TX,195326,207507,17343,6.236240951025465,11.964884967998616
Memphis,TN,631539,621056,76383,-1.6599133228510037,8.1308144482411
Menifee,CA,102526,109399,12034,6.703665411700446,9.090825993019777
Meridian,ID,117713,129736,9425,10.213825151002863,13.765092838196287
Mesa,AZ,504300,512498,36483,1.6256196708308548,14.047583806156291
Mesquite,TX,150227,147899,12714,-1.5496548556517804,11.63276702847255
Metairie,LA,143507,144600,6024,0.7616353209251117,24.00398406374502
Miami,FL,442260,449514,9323,1.64021164021164,48.21559583824949
Miami Gardens (Carol City - Norland),FL,111644,110497,4785,-1.0273727204328043,23.092371995820272
Midland,TX,132524,134444,19678,1.4487941806767075,6.832198394145746
Milwaukee,WI,577225,563305,24909,-2.4115379617999912,22.61451684130234
Minneapolis,MN,429985,425096,13986,-1.1370164075491007,30.394394394394393
Miramar,FL,134706,137228,7473,1.8722254391044202,18.363174093402918
Mobile,AL,187048,183289,36126,-2.009644583208588,5.073603498865083
Modesto,CA,218467,218069,11162,-0.1821785441279461,19.536731768500267
Montgomery,AL,200586,196986,41403,-1.7947414076755108,4.757771176001739
Moreno Valley,CA,208640,211924,13289,1.5740030674846626,15.947324855143352
Murfreesboro,TN,152775,162398,16573,6.298805432826052,9.798950099559525
Murrieta,CA,110953,113783,8686,2.5506295458437354,13.099585539949343
Nampa,ID,100310,110951,9006,10.60811484398365,12.31967577170775
Naperville,IL,149559,149936,10130,0.2520744321638952,14.801184600197434
Nashville (- Davidson),TN,689454,683622,123171,-0.8458867451635642,5.550186326326814
Newark,NJ,311552,305344,6253,-1.9926047658175843,48.83160083160083
New Bedford,MA,101089,100682,5180,-0.4026155170196559,19.436679536679538
New Braunfels,TX,90391,104707,11664,15.837859963934461,8.976937585733882
New Haven,CT,134024,138915,4841,3.6493463857219606,28.695517455071265
New Orleans,LA,383998,369749,43900,-3.7106964098771344,8.4225284738041
Newport News,VA,186243,184306,17870,-1.0400390887174282,10.313710128707331
New York,NY,8804194,8335897,77818,-5.319021820736799,107.1204220103318
Norfolk,VA,238001,232995,13798,-2.10335250692224,16.886142919263662
Norman,OK,127991,129627,46269,1.2782148744833621,2.801595020424042
North Charleston,SC,114839,118608,20106,3.2819860848666393,5.89913458669054
North Las Vegas,NV,259520,280543,26502,8.100724414303329,10.585729378914799
Oakland,CA,440660,430553,14494,-2.293605046974992,29.705602318200636
Oceanside,CA,174048,172199,10688,-1.0623506159220446,16.111433383233532
Odessa,TX,114452,112906,13330,-1.3507846083947856,8.47006751687922
Oklahoma City,OK,681084,694800,157077,2.0138485120778054,4.423308313756947
Olathe,KS,141283,145616,16175,3.06689410615573,9.002534775888718
Omaha,NE,491743,485153,36951,-1.3401309220466788,13.129631133122244
Ontario,CA,175266,179061,12946,2.16528020266338,13.831376486945775
Orange,CA,139902,136178,6648,-2.661863304313019,20.484055354993984
Orlando,FL,307683,316081,28756,2.7294325653351015,10.991827792460704
Overland Park,KS,197249,197726,19484,0.24182632104598756,10.14812153561897
Oxnard,CA,202067,200415,6871,-0.8175506144001742,29.168243341580556
Palm Bay,FL,119752,129234,22382,7.918030596566236,5.774014833348226
Palmdale,CA,169415,163463,27471,-3.513266239707228,5.9503840413527
Paradise,NV,191238,192900,10983,0.8690741379851284,17.563507238459437
Pasadena,CA,138719,134211,5947,-3.2497350759448955,22.56784933579956
Pasadena,TX,151897,147662,11316,-2.788073497172426,13.048957228702722
Paterson,NJ,159759,156661,2179,-1.9391708761321742,71.89582377237265
Pearland,TX,125815,126949,12611,0.9013233716170568,10.066529220521767
Pembroke Pines,FL,171182,169876,8464,-0.7629306819642252,20.070415879017013
Peoria,IL,113176,111021,12442,-1.9041139464197356,8.923083105610031
Peoria,AZ,190966,197866,45605,3.613208633997675,4.338690933011732
Philadelphia,PA,1603799,1567258,34798,-2.278402717547523,45.03873785849761
Phoenix,AZ,1608190,1644409,134242,2.2521592597889555,12.2495865675422
Pittsburgh,PA,302958,302898,14342,-0.019804725407482224,21.11964858457677
Plano,TX,285469,289547,18567,1.428526389905734,15.594711046480315
Pomona,CA,151445,146017,5953,-3.5841394565683915,24.528305056274146
Pompano Beach,FL,112056,112302,6233,0.21953309059755838,18.01732712979304
Portland,OR,652518,635067,34573,-2.674408981821191,18.3688716628583
Port St. Lucie,FL,204856,231790,30877,13.147772093568166,7.506882145286135
Providence,RI,190932,189563,4767,-0.7170091969915992,39.76568072162786
Provo,UT,115173,113523,10801,-1.4326274387226172,10.51041570224979
Pueblo,CO,111874,111456,14558,-0.3736346246670361,7.655996702843797
Quincy,MA,101606,101727,4292,0.11908745546522843,23.701537744641193
Raleigh,NC,467762,476587,38473,1.8866432074431012,12.387570503989812
Rancho Cucamonga,CA,174624,176336,12044,0.9803921568627451,14.640983062105613
Reno,NV,264147,273448,28196,3.521145422813812,9.69811320754717
Renton,WA,106836,104047,6097,-2.610543262570669,17.065278005576513
Rialto,CA,104048,103545,6240,-0.483430724281101,16.59375
Richardson,TX,119464,118802,7399,-0.5541418335230697,16.05649412082714
Richmond,VA,226618,229395,15521,1.2254101615935187,14.779653372849687
Richmond,CA,116432,114301,7781,-1.8302528514497731,14.68975710062974
Rio Rancho,NM,104039,108082,26770,3.8860427339747594,4.037429958909227
Riverside,CA,315014,320764,21017,1.8253157002545917,15.2621211400295
Riverview,FL,107396,115600,11960,7.639018212968826,9.665551839464882
Rochester,MN,121388,121878,14442,0.4036642831251854,8.439135853759867
Rochester,NY,211321,209352,9262,-0.9317578470667847,22.60332541567696
Rockford,IL,148662,146713,16812,-1.3110277004210893,8.726683321437068
Roseville,CA,147796,154817,11418,4.7504668597255675,13.559029602382203
Round Rock,TX,119501,126697,9782,6.0217069313227505,12.952054794520548
Sacramento,CA,524924,528001,25549,0.586180094642272,20.666210027789738
Salem,OR,175472,177487,12667,1.148331357709492,14.011762848346097
Salinas,CA,163542,161020,6090,-1.542111506524318,26.44006568144499
Salt Lake City,UT,199711,204657,28721,2.476578656158148,7.125692002367606
San Antonio,TX,1434367,1472909,129220,2.6870389516769415,11.398459990713512
San Bernardino,CA,222068,220328,16091,-0.7835437793828917,13.692623205518613
San Buenaventura (Ventura),CA,110736,109527,5665,-1.0917858690940616,19.333980582524273
San Diego,CA,1386960,1381162,84403,-0.4180365691872873,16.36389701787851
Sandy Springs,GA,108068,107763,9753,-0.28222970722137913,11.049215625961242
San Francisco,CA,873959,808437,12105,-7.4971480355485784,66.78537794299876
San Jose,CA,1013221,971233,46081,-4.144012017121635,21.076647642195265
San Mateo,CA,105665,100984,3143,-4.430038328680263,32.129812281259944
Santa Ana,CA,310555,308189,7090,-0.7618618280175815,43.46812411847673
Santa Clara,CA,127861,126930,4734,-0.7281344585135421,26.812420785804814
Santa Clarita,CA,228679,221345,18325,-3.2071156511966556,12.078854024556616
Santa Maria,CA,109695,110125,5908,0.3919959888782533,18.639979688557887
San Tan Valley,AZ,99894,103000,19631,3.109295853604821,5.246803525036931
Santa Rosa,CA,178128,177181,11014,-0.5316401688673313,16.08688941347376
Savannah,GA,147768,148004,28122,0.1597098153862812,5.262925823198919
Scottsdale,AZ,241339,243050,47657,0.7089612536722204,5.09998531170657
Seattle,WA,737018,749256,21756,1.6604750494560512,34.43905129619415
Shreveport,LA,187587,180153,28010,-3.962961186009691,6.431738664762585
Simi Valley,CA,126373,124398,10760,-1.5628338331763907,11.561152416356878
Sioux Falls,SD,192700,202078,20887,4.866632070576025,9.674821659405373
South Bend,IN,103436,103110,10872,-0.3151707335937198,9.483995584988962
South Fulton,GA,108064,111158,24081,2.8631181522061,4.616004318757526
Sparks,NV,108457,109226,9451,0.7090367611126991,11.557083906464925
Spokane,WA,228978,230160,17809,0.5162067971595524,12.923802571733393
Spokane Valley,WA,102983,107325,9769,4.216229863181302,10.986283140546627
Springfield,IL,114414,113273,15841,-0.9972555806107644,7.150621804179029
Springfield,MA,155931,154064,8254,-1.197324457612662,18.665374363944753
Springfield,MO,169168,170067,21526,0.531424382862007,7.900538883211
Spring Hill,FL,113568,116900,15519,2.9339250493096647,7.532701849345963
Spring Valley,NV,215597,224000,9196,3.8975495948459393,24.35841670291431
St. George,UT,95345,102519,19981,7.524254024857098,5.1308242830689155
St. Louis,MO,301574,286578,15985,-4.972577211563331,17.92793243665937
St. Paul,MN,311518,303176,13461,-2.6778548912101385,22.52254661615036
St. Petersburg,FL,258356,261256,16007,1.1224821564043415,16.3213594052602
Stamford,CT,135451,136188,9743,0.5441082014898376,13.978035512675767
Sterling Heights,MI,134334,132567,9440,-1.3153780874536602,14.043114406779662
Stockton,CA,320810,321819,16159,0.3145163804120819,19.91577449099573
Sugar Land,TX,111032,109414,10481,-1.457237553137834,10.439271061921572
Sunnyvale,CA,155629,153091,5714,-1.6308014573119405,26.79226461323066
Sunrise Manor,NV,205618,209300,8732,1.7906992578470757,23.96930829134219
Surprise,AZ,143158,154198,28578,7.711759035471298,5.395688991531948
Syracuse,NY,148608,144451,6490,-2.7972922049956934,22.257473035439137
Tacoma,WA,219175,221776,12876,1.1867229382913198,17.22398260329295
Tallahassee,FL,196171,201731,26388,2.8342619449357955,7.644800666969835
Tampa,FL,384661,398173,29432,3.5127033933775453,13.528574340853492
Temecula,CA,109994,111752,9629,1.5982689964907175,11.605774223699242
Tempe,AZ,180576,185950,10353,2.9760322523480416,17.960977494446055
The Woodlands,TX,114436,119100,11225,4.0756405326995,10.610244988864142
Thornton,CO,141862,143282,9452,1.0009727763601246,15.158908167583581
Thousand Oaks,CA,126968,124265,14312,-2.1288828681242515,8.68257406372275
Toledo,OH,270880,266301,20846,-1.6904164205552272,12.774680993955675
Topeka,KS,126601,125449,15960,-0.9099454190725192,7.860213032581454
Torrance,CA,147071,141126,5314,-4.042265300433124,26.557395558901018
Tucson,AZ,542656,546574,62627,0.722004363722137,8.727449821961773
Tulsa,OK,413123,411867,51221,-0.3040256775827054,8.040979285839793
Tuscaloosa,AL,99627,110602,16031,11.01609001575878,6.899257688229056
Tyler,TX,105984,109286,14967,3.11556461352657,7.301797287365537
Vacaville,CA,102386,101918,7736,-0.4570937432852148,13.17450879007239
Vallejo,CA,126083,123564,7878,-1.9978902786259845,15.684691546077685
Vancouver,WA,190888,194512,12626,1.8984954528309794,15.40567083795343
Victorville,CA,134802,137221,19091,1.7944837613685256,7.187732439369336
Virginia Beach,VA,459471,455618,63382,-0.8385730546650387,7.188444668833423
Visalia,CA,141574,143966,9872,1.6895757695622078,14.583265802269043
Waco,TX,140119,143984,23245,2.758369671493516,6.19419229941923
Warren,MI,139398,137107,8904,-1.643495602519405,15.398360287511231
Washington,DC,689546,671803,15832,-2.5731423284305905,42.43323648307226
Waterbury,CT,114455,115016,7396,0.49014896684286396,15.55110870740941
West Covina,CA,109501,105013,4153,-4.098592706915919,25.286058271129303
West Jordan,UT,116962,116664,8371,-0.2547836049315162,13.9366861784733
Westminster,CO,116315,114533,8181,-1.5320465976013413,13.999877765554332
West Palm Beach,FL,117315,120932,13952,3.083152197076248,8.667717889908257
West Valley City,UT,140239,136650,9279,-2.559202504296237,14.726802457161332
Wichita,KS,397547,396192,42187,-0.34084020254208935,9.391329082418755
Wichita Falls,TX,102316,102664,18719,0.34012275694905975,5.484481008600887
Wilmington,NC,115456,120324,13314,4.216324833702882,9.037404236142406
Winston-Salem,NC,249562,251350,34584,0.716455229562193,7.267811704834606
Worcester,MA,206519,205319,9676,-0.5810603382739602,21.219408846630838
Yonkers,NY,211585,208121,4663,-1.6371670959661602,44.63242547716062
